Edad,Puntaje Edad,Saturación,Puntaje Saturación,Frecuencia Cardiaca,Puntaje FC,PA Sístole,Puntaje PA Sístole,PA Diástole,Puntaje PA Diástole,Temperatura,Puntaje Temperatura,Puntaje Total,Prioridad
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Hipotermia (<36°C),4,27,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Normotermina (>=36 y <=37°C),0,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Febrícula (>37 y <38°C),2,25,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Fiebre (>=38°C y <39.4°C),4,27,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipertensión (>=90 mmHg),5,Fiebre alta (>=39.4°C),6,29,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Hipotermia (<36°C),4,25,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Normotermina (>=36 y <=37°C),0,21,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Febrícula (>37 y <38°C),2,23,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Fiebre (>=38°C y <39.4°C),4,25,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Prehipertensión (>=80 y <90 mmHg),3,Fiebre alta (>=39.4°C),6,27,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Hipotermia (<36°C),4,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Normotermina (>=36 y <=37°C),0,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Febrícula (>37 y <38°C),2,22,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Fiebre (>=38°C y <39.4°C),4,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Normal (>=60 y <80 mmHg),2,Fiebre alta (>=39.4°C),6,26,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Hipotermia (<36°C),4,24,III
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Normotermina (>=36 y <=37°C),0,20,IV
Lactante (>=0 y <2 años),4,Normal (>=95),0,Taquicardia (>100 bpm),9,Hipertensión (>=140 mmHg),5,Hipotensión (<60 mmHg),2,Febrícula (>37 y <38°C),2,22,III
